Function,Calls,Total Time,Per Call,Cumulative Time,Per Call (cumulative)
d:\Desktop\PaintProject\ArcadeFSE\src\chess\engine.py:373(iterative_deepening),1,0.00010570000000000001,0.00010570000000000001,3.0758884,3.0758884
d:\Desktop\PaintProject\ArcadeFSE\src\chess\engine.py:347(find_best_move),3,0.0005258,0.00017526666666666665,3.0660495,1.0220165
d:\Desktop\PaintProject\ArcadeFSE\src\chess\engine.py:314(minimax),2773,0.010309800000000001,3.7179228272628927e-06,3.0610433,0.0011038742517129464
d:\Desktop\PaintProject\ArcadeFSE\src\chess\engine.py:270(quiescence_search),2621,0.0017767000000000002,6.778710415871806e-07,2.9019316,0.0011071848912628769
d:\Desktop\PaintProject\ArcadeFSE\src\chess\engine.py:295(quiescence_min),6992,0.008992,1.28604118993135e-06,2.8407771000000004,0.00040628963100686503
d:\Desktop\PaintProject\ArcadeFSE\src\chess\engine.py:235(evaluate),8591,0.030934200000000002,3.6007682458386687e-06,2.6237342000000003,0.0003054049819578629
d:\Desktop\PaintProject\ArcadeFSE\src\chess\engine.py:276(quiescence_max),1599,0.010719900000000001,6.704127579737336e-06,2.0622846,0.0012897339587242026
d:\Desktop\PaintProject\ArcadeFSE\src\chess\board.py:1133(is_game_over),8743,0.0078188,8.942925769186779e-07,1.6584683,0.0001896909870753746
d:\Desktop\PaintProject\ArcadeFSE\src\chess\board.py:842(generate_legal_moves),10325,0.1217038,1.1787292978208233e-05,1.4636398000000002,0.0001417568813559322
d:\Desktop\PaintProject\ArcadeFSE\src\chess\board.py:1128(is_draw),8729,0.011219000000000002,1.2852560430748084e-06,1.3056217,0.00014957288349180892
d:\Desktop\PaintProject\ArcadeFSE\src\chess\board.py:1002(has_legal_moves),8757,0.0141192,1.612332990750257e-06,1.2958066000000001,0.0001479738038140916
d:\Desktop\PaintProject\ArcadeFSE\src\chess\board.py:1098(is_stalemate),8729,0.008803100000000001,1.0084889448963227e-06,1.2761868,0.0001462008019246191
d:\Desktop\PaintProject\ArcadeFSE\src\chess\board.py:654(generate_attack_map),27479,0.23556680000000002,8.572611812656938e-06,0.9014911000000001,3.2806546817569785e-05
d:\Desktop\PaintProject\ArcadeFSE\src\chess\board.py:385(generate_moves),8913,0.075502,8.470997419499607e-06,0.5994888,6.726004712218109e-05
d:\Desktop\PaintProject\ArcadeFSE\src\chess\engine.py:39(evaluate_mobility),8577,0.0139521,1.6266876530255334e-06,0.5841608,6.8107823248222e-05
d:\Desktop\PaintProject\ArcadeFSE\src\chess\board.py:642(generate_sliding_attacks),66900,0.30393220000000004,4.543082212257101e-06,0.4307286,6.438394618834081e-06
